"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.064cf9688ef9","annexes.a2.3_learning_outcomes|table_cell","Assess ethical and practical aspects of the development and deployment of computer programs and AI systems.","Beoordeel ethische en praktische aspecten van de ontwikkeling en inzet van computerprogramma's en AI-systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.71","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.108","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.45","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9050f39fe313","annexes.a2.3_learning_outcomes|table_cell","LO3.4.34","LO3.4.34"
"doc.annexes.a2.3_learning_outcomes.table_cell.8a7cc461349e","annexes.a2.3_learning_outcomes|table_cell","Apply computational thinking, knowledge of programming and/or AI systems to (partially or fully) automate routine tasks.","Pas computationeel denken, kennis van programmeren en/of AI-systemen toe om routinetaken (gedeeltelijk of volledig) te automatiseren."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.72","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.109","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.46","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.0804135d46a7","annexes.a2.3_learning_outcomes|table_cell","LO3.4.35","LO3.4.35"
"doc.annexes.a2.3_learning_outcomes.table_cell.2b305a21b95f","annexes.a2.3_learning_outcomes|table_cell","Apply programming tools or AI systems to complex computational thinking tasks.","Pas programmeertools of AI-systemen toe op complexe computationele denktaken."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.73","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.110","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.47","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.80ff4e3182ab","annexes.a2.3_learning_outcomes|table_cell","LO3.4.36","LO3.4.36"
"doc.annexes.a2.3_learning_outcomes.table_cell.6200fe3decf5","annexes.a2.3_learning_outcomes|table_cell","Promote and support ethical programming and/or AI systems development practices.","Bevorder en ondersteun ethische programmeerpraktijken en/of de ontwikkeling van ethische AI-systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.50","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.50","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.48","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.70f368a8baf9","annexes.a2.3_learning_outcomes|table_cell","LO3.4.37","LO3.4.37"
"doc.annexes.a2.3_learning_outcomes.table_cell.6db97e4537fb","annexes.a2.3_learning_outcomes|table_cell","Stay informed about current developments in programming techniques and related applications of AI systems, such as robotics.","Blijf op de hoogte van de huidige ontwikkelingen in programmeertechnieken en gerelateerde toepassingen van AI-systemen, zoals robotica."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.51","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.51","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.49","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a7875a8531e9","annexes.a2.3_learning_outcomes|table_cell","LO3.4.38","LO3.4.38"
"doc.annexes.a2.3_learning_outcomes.table_cell.257a80689733","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to complex projects focused on applications of computational thinking, programming or AI systems, including developing, validating and deploying computer programs or AI systems.","Leid of draag bij aan complexe projecten gericht op toepassingen van computationeel denken, programmeren of AI-systemen, inclusief het ontwikkelen, valideren en inzetten van computerprogramma's of AI-systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.52","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.111","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.50","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.904bef51213b","annexes.a2.3_learning_outcomes|table_cell","LO3.4.39","LO3.4.39"
"doc.annexes.a2.3_learning_outcomes.table_cell.b194bc1b49f2","annexes.a2.3_learning_outcomes|table_cell","Assist others to develop basic programming capabilities and/or or capabilities in the application of AI systems to computational thinking tasks.","Help anderen bij het ontwikkelen van basisvaardigheden op het gebied van programmeren en/of vaardigheden in de toepassing van AI-systemen op computationele denktaken."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.53","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.112","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.51","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f026353d9b32","annexes.a2.3_learning_outcomes|table_cell","LO4.1.14","LO4.1.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.f019d5406828","annexes.a2.3_learning_outcomes|table_cell","Update cybersecurity measures to protect devices and their contents in response to evolving digital threats.","Werk cybersecuritymaatregelen bij om apparaten en hun inhoud te beschermen als reactie op evoluerende digitale dreigingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.74","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.113","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.176","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f0f0da6650e","annexes.a2.3_learning_outcomes|table_cell","LO4.1.15","LO4.1.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.6fe13dbae536","annexes.a2.3_learning_outcomes|table_cell","Assist others in implementing basic device protection measures, such as antivirus software, screen locking, strong passwords and multi-factor authentication.","Help anderen bij het implementeren van basismaatregelen voor apparaatbeveiliging, zoals antivirussoftware, schermvergrendeling, sterke wachtwoorden en multifactorauthenticatie."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.75","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.114","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.62","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7b35293679a0","annexes.a2.3_learning_outcomes|table_cell","LO4.1.16","LO4.1.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.e7580528a651","annexes.a2.3_learning_outcomes|table_cell","Stay informed about digital technological and legislative developments in relation to cybersecurity.","Blijf op de hoogte van digitaal-technologische en wettelijke ontwikkelingen op het gebied van cybersecurity."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.54","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.52","annexes.a2.3_learning_outcomes|table_cell","Attitude","Houding"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.177","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e4b5a1b690b8","annexes.a2.3_learning_outcomes|table_cell","LO4.1.17","LO4.1.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.26827301d650","annexes.a2.3_learning_outcomes|table_cell","Assess rights of individuals under relevant provisions of current cybersecurity legislation.","Beoordeel de rechten van individuen onder relevante bepalingen van de huidige cybersecuritywetgeving."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.55","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.115","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.178","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d7bfc77f4641","annexes.a2.3_learning_outcomes|table_cell","LO4.1.18","LO4.1.18"
"doc.annexes.a2.3_learning_outcomes.table_cell.c8b6831b7519","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to citizen-focused cybersecurity initiatives.","Leid of draag bij aan burgergerichte cybersecurity-initiatieven."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.56","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.116","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.179","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c8536d438910","annexes.a2.3_learning_outcomes|table_cell","LO4.1.19","LO4.1.19"
"doc.annexes.a2.3_learning_outcomes.table_cell.ca2f75ce55f9","annexes.a2.3_learning_outcomes|table_cell","Support others to build their capabilities in protecting their devices and their contents against digital threats.","Ondersteun anderen bij het opbouwen van hun vermogen om hun apparaten en hun inhoud te beschermen tegen digitale dreigingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.57","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.117","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.180","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.2c2d21a6ea4e","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 4: SAFETY, WELLBEING AND RESPONSIBLE USE - Competence 4.2 Protecting personal data and privacy","COMPETENTIEGEBIED 4: VEILIGHEID, WELZIJN EN VERANTWOORD GEBRUIK - Competentie 4.2 Persoonlijke gegevens en privacy beschermen"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.9","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.paragraph.520deb76cd5c.1","annexes.a2.3_learning_outcomes|paragraph","Proficiency level","Niveau van bekwaamheid"
"doc.annexes.a2.3_learning_outcomes.paragraph.7e287d9b8b2e.1","annexes.a2.3_learning_outcomes|paragraph","Knowledge, skill or attitude","Kennis, vaardigheid of houding"
"doc.annexes.a2.3_learning_outcomes.paragraph.e41992cc3ebb.1","annexes.a2.3_learning_outcomes|paragraph","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.paragraph.f2a2d3db55ab","annexes.a2.3_learning_outcomes|paragraph","LO4.2.01 Acknowledge the importance of a cautious approach to the sharing of personal data in digital environments. Basic Attitude AI not Implicit or Explicit","LO4.2.01 Erken het belang van een behoedzame aanpak bij het delen van persoonlijke gegevens in digitale omgevingen. Basis Houding AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.21ec4ed9cbcd","annexes.a2.3_learning_outcomes|paragraph","LO4.2.02 Recognise that personal data is collected and generated through a large variety of digital sources and processes.","LO4.2.02 Erken dat persoonlijke gegevens worden verzameld en gegenereerd via een grote verscheidenheid aan digitale bronnen en processen."
"doc.annexes.a2.3_learning_outcomes.paragraph.0c20fbb0249d","annexes.a2.3_learning_outcomes|paragraph","LO4.2.03 Identify risks of sharing personal data in digital environments, including specific risks in relation to AI systems.","LO4.2.03 Identificeer risico's van het delen van persoonlijke gegevens in digitale omgevingen, inclusief specifieke risico's met betrekking tot AI-systemen."
"doc.annexes.a2.3_learning_outcomes.paragraph.bf56dde6768a.1","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI-Implicit","Basis Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.0f3ba04bf1ee","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI-Explicit","Basis Kennis AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.0eb7aba1588d","annexes.a2.3_learning_outcomes|paragraph","LO4.2.04 Recognise that individuals have a right to privacy and that their personal data is protected under legislation. Basic Knowledge AI-Implicit","LO4.2.04 Erken dat individuen recht hebben op privacy en dat hun persoonlijke gegevens wettelijk beschermd zijn. Basis Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.1947566a14f1","annexes.a2.3_learning_outcomes|paragraph","LO4.2.05 Recognise that manipulative methods can be used to deceive individuals into providing access to personal data, accounts or other sensitive information.","LO4.2.05 Erken dat manipulatieve methoden kunnen worden gebruikt om individuen te misleiden tot het verlenen van toegang tot persoonlijke gegevens, accounts of andere gevoelige informatie."
"doc.annexes.a2.3_learning_outcomes.paragraph.08ab8430ca2d.1","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI not Implicit or Explicit","Basis Kennis AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.ff9b93d4055a","annexes.a2.3_learning_outcomes|paragraph","LO4.2.06 Recognise signs of identity theft. Basic Knowledge AI not Implicit or Explicit","LO4.2.06 Herken tekenen van identiteitsdiefstal. Basis Kennis AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.b7a719aa69ab","annexes.a2.3_learning_outcomes|paragraph","LO4.2.07 Recognise that users of platforms and services can request to block or flag personal information that has been shared inappropriately online.","LO4.2.07 Erken dat gebruikers van platforms en diensten kunnen verzoeken om persoonlijke informatie die ongepast online is gedeeld, te blokkeren of te rapporteren."
"doc.annexes.a2.3_learning_outcomes.paragraph.08ab8430ca2d.2","annexes.a2.3_learning_outcomes|paragraph","Basic Knowledge AI not Implicit or Explicit","Basis Kennis AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.cbb0d62671b8","annexes.a2.3_learning_outcomes|paragraph","LO4.2.08 Implement basic security measures for online payments and transactions. Basic Skill AI not Implicit or Explicit","LO4.2.08 Implementeer basisbeveiligingsmaatregelen voor online betalingen en transacties. Basis Vaardigheid AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.933f31243c92","annexes.a2.3_learning_outcomes|paragraph","LO4.2.09 Respond appropriately to signs of identity theft. Basic Skill AI not Implicit or Explicit LO4.2.10 Block or flag personal information that has been inappropriately shared online. Basic Skill AI not Implicit or Explicit","LO4.2.09 Reageer passend op tekenen van identiteitsdiefstal. Basis Vaardigheid AI niet impliciet of expliciet LO4.2.10 Blokkeer of rapporteer persoonlijke informatie die ongepast online is gedeeld. Basis Vaardigheid AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.b75a8bcd8d62","annexes.a2.3_learning_outcomes|paragraph","LO4.2.11 Acknowledge the importance of careful handling of personal data of oneself and others, especially vulnerable individuals and children.","LO4.2.11 Erken het belang van een zorgvuldige omgang met persoonlijke gegevens van jezelf en anderen, met name bij kwetsbare individuen en kinderen."
"doc.annexes.a2.3_learning_outcomes.paragraph.12f53ca65c7c","annexes.a2.3_learning_outcomes|paragraph","LO4.2.12 Recognise key concepts of data protection and privacy legislation including privacy, anonymisation, pseudonymisation and data removal rights.","LO4.2.12 Herken de belangrijkste concepten van de wetgeving inzake gegevensbescherming en privacy, waaronder privacy, anonimisering, pseudonimisering en het recht op gegevensverwijdering."
"doc.annexes.a2.3_learning_outcomes.paragraph.b1155f98e8a0","annexes.a2.3_learning_outcomes|paragraph","Intermediate Attitude AI not Implicit or Explicit Intermediate Knowledge AI-Implicit","Gemiddelde Houding AI niet impliciet of expliciet Gemiddelde Kennis AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.a184aff743ef","annexes.a2.3_learning_outcomes|table_cell","LO4.2.16","LO4.2.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.f1feb2d17ae2","annexes.a2.3_learning_outcomes|table_cell","Define personal data breach under current data protection and privacy legislation.","Definieer een inbreuk in verband met persoonsgegevens onder de huidige wetgeving inzake gegevensbescherming en privacy."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.96","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.124","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.63","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.c15c1d4b01c6","annexes.a2.3_learning_outcomes|table_cell","LO4.2.17","LO4.2.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.ef0b7f523899","annexes.a2.3_learning_outcomes|table_cell","Recognise that regulation of personal data ownership in AI systems is complex.","Erken dat de regulering van eigendom van persoonlijke gegevens in AI-systemen complex is."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.97","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.125","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.52","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d3dbf79ffc01","annexes.a2.3_learning_outcomes|table_cell","LO4.2.18","LO4.2.18"
"doc.annexes.a2.3_learning_outcomes.table_cell.7a9de8f7863f","annexes.a2.3_learning_outcomes|table_cell","Describe privacy implications associated with the use of content shared online, such as to train AI systems.","Beschrijf privacy-implicaties die samenhangen met het gebruik van online gedeelde inhoud, bijvoorbeeld om AI-systemen te trainen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.98","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.126","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.53","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ef2ba36271a","annexes.a2.3_learning_outcomes|table_cell","LO4.2.19","LO4.2.19"
"doc.annexes.a2.3_learning_outcomes.table_cell.26c74a82b288","annexes.a2.3_learning_outcomes|table_cell","Define main features and functions of privacy tools.","Definieer de belangrijkste kenmerken en functies van privacytools."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.99","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.127","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_family.a89f17af6f31.181","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.060db7e37922","annexes.a2.3_learning_outcomes|table_cell","LO4.2.20","LO4.2.20"
"doc.annexes.a2.3_learning_outcomes.table_cell.91f924f32c44","annexes.a2.3_learning_outcomes|table_cell","Manage personal data and privacy across a variety of digital environments, including use of privacy tools.","Beheer persoonlijke gegevens en privacy in verschillende digitale omgevingen, inclusief het gebruik van privacytools."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.100","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.118","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.182","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8af0c163b1a1","annexes.a2.3_learning_outcomes|table_cell","LO4.2.21","LO4.2.21"
