location,context,source,target
digcomp.statement.1.2.basic.04,digcomp.statement.1.2.basic.04,"Recognise examples of misinformation, disinformation, and sources of bias.",
digcomp.statement.1.2.basic.04.ai_label,digcomp.statement.1.2.basic.04.ai_label,AI-Implicit,
digcomp.statement.1.2.basic.05,digcomp.statement.1.2.basic.05,Recognise examples of social media influencing and filter bubbles.,
digcomp.statement.1.2.basic.05.ai_label,digcomp.statement.1.2.basic.05.ai_label,AI-Implicit,
digcomp.statement.1.2.basic.06,digcomp.statement.1.2.basic.06,Make a basic assessment of the reliability and credibility of digital information sources and content.,
digcomp.statement.1.2.basic.06.ai_label,digcomp.statement.1.2.basic.06.ai_label,AI-Implicit,
digcomp.statement.1.2.intermediate.07,digcomp.statement.1.2.intermediate.07,Identify the source of online information and the purposes of fact-checking services to develop pre-bunking and de-bunking capabilities.,
digcomp.statement.1.2.intermediate.07.ai_label,digcomp.statement.1.2.intermediate.07.ai_label,AI-Implicit,
digcomp.statement.1.2.intermediate.08,digcomp.statement.1.2.intermediate.08,Recognise that the data used to train AI systems and how they are trained affects the reliability of the information they provide.,
digcomp.statement.1.2.intermediate.08.ai_label,digcomp.statement.1.2.intermediate.08.ai_label,AI-Explicit,
digcomp.statement.1.2.intermediate.09,digcomp.statement.1.2.intermediate.09,"Recognise that some digital technologies, such as AI systems, might function like a 'black box', making it difficult to explain why or how an output has been produced.",
digcomp.statement.1.2.intermediate.09.ai_label,digcomp.statement.1.2.intermediate.09.ai_label,AI-Explicit,
digcomp.statement.1.2.intermediate.10,digcomp.statement.1.2.intermediate.10,"Recognise that AI systems may produce output which is inaccurate, even if it may seem plausible, and that the human using the AI system is responsible for checking the quality and validity of information and content generated.",
digcomp.statement.1.2.intermediate.10.ai_label,digcomp.statement.1.2.intermediate.10.ai_label,AI-Explicit,
digcomp.statement.1.2.intermediate.11,digcomp.statement.1.2.intermediate.11,Recognise that individual (cognitive and affective) biases and AI system biases play a role in the generation and interpretation of information.,
digcomp.statement.1.2.intermediate.11.ai_label,digcomp.statement.1.2.intermediate.11.ai_label,AI-Explicit,
digcomp.statement.1.2.intermediate.12,digcomp.statement.1.2.intermediate.12,"Recognise and respond effectively to user-directing strategies in digital environments such as clickbait, nudging and gamification.",
digcomp.statement.1.2.intermediate.12.ai_label,digcomp.statement.1.2.intermediate.12.ai_label,AI-Implicit,
digcomp.statement.1.2.intermediate.13,digcomp.statement.1.2.intermediate.13,"Critically assess the reliability of sources, information and content in digital environments, considering the role of AI systems, personalisation effects, and commercial or other interests.",
digcomp.statement.1.2.intermediate.13.ai_label,digcomp.statement.1.2.intermediate.13.ai_label,AI-Explicit,
digcomp.statement.1.2.advanced.14,digcomp.statement.1.2.advanced.14,"Continually scrutinise how AI systems, biases, and various interests shape generation, presentation and interpretation of information in digital environments.",
digcomp.statement.1.2.advanced.14.ai_label,digcomp.statement.1.2.advanced.14.ai_label,AI-Explicit,
digcomp.statement.1.2.advanced.15,digcomp.statement.1.2.advanced.15,"Describe features of trustworthy digital technologies, such as AI systems.",
digcomp.statement.1.2.advanced.15.ai_label,digcomp.statement.1.2.advanced.15.ai_label,AI-Explicit,
digcomp.statement.1.2.advanced.16,digcomp.statement.1.2.advanced.16,"Describe personal, social and political consequences of misinformation, disinformation, sources of bias, social media influencing and filter bubbles.",
digcomp.statement.1.2.advanced.16.ai_label,digcomp.statement.1.2.advanced.16.ai_label,AI-Implicit,
digcomp.statement.1.2.advanced.17,digcomp.statement.1.2.advanced.17,"Thoroughly assess the reliability and accuracy of a diversity of digital sources, information and content, considering a range of potential influencing factors.",
digcomp.statement.1.2.advanced.17.ai_label,digcomp.statement.1.2.advanced.17.ai_label,AI-Implicit,
digcomp.statement.1.2.advanced.18,digcomp.statement.1.2.advanced.18,"Support others to develop capabilities to assess the credibility and reliability of digital sources, information and content.",
digcomp.statement.1.2.advanced.18.ai_label,digcomp.statement.1.2.advanced.18.ai_label,AI-Implicit,
digcomp.statement.1.2.highly_advanced.19,digcomp.statement.1.2.highly_advanced.19,"Systematically assess and evaluate digital sources, information and content to support complex decision-making.",
digcomp.statement.1.2.highly_advanced.19.ai_label,digcomp.statement.1.2.highly_advanced.19.ai_label,AI-Implicit,
digcomp.statement.1.2.highly_advanced.20,digcomp.statement.1.2.highly_advanced.20,"Help others to develop capabilities to critically evaluate information and content, and resilience to misinformation and disinformation, in digital environments.",
digcomp.statement.1.2.highly_advanced.20.ai_label,digcomp.statement.1.2.highly_advanced.20.ai_label,AI-Implicit,
digcomp.statement.1.2.highly_advanced.21,digcomp.statement.1.2.highly_advanced.21,Lead or contribute to initiatives that support accurate interpretation of information in digital environments.,
digcomp.statement.1.2.highly_advanced.21.ai_label,digcomp.statement.1.2.highly_advanced.21.ai_label,AI-Implicit,
digcomp.statement.1.3.basic.01,digcomp.statement.1.3.basic.01,Acknowledge the benefits of managing and organising information in digital environments.,
digcomp.statement.1.3.basic.01.ai_label,digcomp.statement.1.3.basic.01.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.basic.02,digcomp.statement.1.3.basic.02,"Recognise functions of data removal, restoration and backup, and main properties of digital files and folders.",
digcomp.statement.1.3.basic.02.ai_label,digcomp.statement.1.3.basic.02.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.basic.03,digcomp.statement.1.3.basic.03,"Download, save, retrieve, move and delete digital files.",
digcomp.statement.1.3.basic.03.ai_label,digcomp.statement.1.3.basic.03.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.basic.04,digcomp.statement.1.3.basic.04,"Organise and format simple data in a structured digital environment, such as in spreadsheets.",
digcomp.statement.1.3.basic.04.ai_label,digcomp.statement.1.3.basic.04.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.basic.05,digcomp.statement.1.3.basic.05,"Update one's contacts, such as on phone, email or social media.",
digcomp.statement.1.3.basic.05.ai_label,digcomp.statement.1.3.basic.05.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.intermediate.06,digcomp.statement.1.3.intermediate.06,Acknowledge the importance of careful and ethical management of data and information in digital environments.,
digcomp.statement.1.3.intermediate.06.ai_label,digcomp.statement.1.3.intermediate.06.ai_label,AI-Implicit,
digcomp.statement.1.3.intermediate.07,digcomp.statement.1.3.intermediate.07,Apply naming conventions to digital files and hierarchies to digital folders.,
digcomp.statement.1.3.intermediate.07.ai_label,digcomp.statement.1.3.intermediate.07.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.intermediate.08,digcomp.statement.1.3.intermediate.08,"Organise folders, and manage, save and delete files on digital devices, external storage, and cloud services.",
digcomp.statement.1.3.intermediate.08.ai_label,digcomp.statement.1.3.intermediate.08.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.intermediate.09,digcomp.statement.1.3.intermediate.09,"Identify common types of data and their formats, and use data collection tools for simple processing of data.",
digcomp.statement.1.3.intermediate.09.ai_label,digcomp.statement.1.3.intermediate.09.ai_label,AI-Implicit,
digcomp.statement.1.3.intermediate.10,digcomp.statement.1.3.intermediate.10,"Manage information in one's digital accounts, such as email.",
digcomp.statement.1.3.intermediate.10.ai_label,digcomp.statement.1.3.intermediate.10.ai_label,AI-Implicit,
digcomp.statement.1.3.intermediate.11,digcomp.statement.1.3.intermediate.11,"Organise and format data and apply basic formulas in a structured digital environment, such as in spreadsheets.",
digcomp.statement.1.3.intermediate.11.ai_label,digcomp.statement.1.3.intermediate.11.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.advanced.12,digcomp.statement.1.3.advanced.12,Prioritise ethical and transparent management and processing of data and information in digital environments.,
digcomp.statement.1.3.advanced.12.ai_label,digcomp.statement.1.3.advanced.12.ai_label,AI-Implicit,
digcomp.statement.1.3.advanced.13,digcomp.statement.1.3.advanced.13,Apply a variety of functions to transfer and manage data and information in digital environments.,
digcomp.statement.1.3.advanced.13.ai_label,digcomp.statement.1.3.advanced.13.ai_label,AI-Implicit,
digcomp.statement.1.3.advanced.14,digcomp.statement.1.3.advanced.14,"Describe examples, applications and limitations of open data and big data.",
digcomp.statement.1.3.advanced.14.ai_label,digcomp.statement.1.3.advanced.14.ai_label,AI-Implicit,
digcomp.statement.1.3.advanced.15,digcomp.statement.1.3.advanced.15,Use range of digital tools and methods to collect and process a variety of data and information.,
digcomp.statement.1.3.advanced.15.ai_label,digcomp.statement.1.3.advanced.15.ai_label,AI-Implicit,
digcomp.statement.1.3.advanced.16,digcomp.statement.1.3.advanced.16,Apply appropriate analysis to information and data in digital environments to contribute to complex decision-making.,
digcomp.statement.1.3.advanced.16.ai_label,digcomp.statement.1.3.advanced.16.ai_label,AI-Implicit,
digcomp.statement.1.3.advanced.17,digcomp.statement.1.3.advanced.17,"Assist others with data and information management, processing and analysis in digital environments.",
digcomp.statement.1.3.advanced.17.ai_label,digcomp.statement.1.3.advanced.17.ai_label,AI-Implicit,
digcomp.statement.1.3.highly_advanced.18,digcomp.statement.1.3.highly_advanced.18,Acknowledge the importance of structuring and documenting data and information in digital environments for the benefit of others.,
digcomp.statement.1.3.highly_advanced.18.ai_label,digcomp.statement.1.3.highly_advanced.18.ai_label,AI not Implicit or Explicit,
digcomp.statement.1.3.highly_advanced.19,digcomp.statement.1.3.highly_advanced.19,"Develop and implement strategies for complex or specialised data and information management, processing and analysis in digital environments.",
digcomp.statement.1.3.highly_advanced.19.ai_label,digcomp.statement.1.3.highly_advanced.19.ai_label,AI-Implicit,
digcomp.statement.1.3.highly_advanced.20,digcomp.statement.1.3.highly_advanced.20,"Use a variety of digital tools and methods to process, manage or analyse complex data or large volumes of information.",
digcomp.statement.1.3.highly_advanced.20.ai_label,digcomp.statement.1.3.highly_advanced.20.ai_label,AI-Implicit,
digcomp.statement.1.3.highly_advanced.21,digcomp.statement.1.3.highly_advanced.21,"Lead or contribute to initiatives that support others in advanced information and data management, processing and analysis in digital environments.",
digcomp.statement.1.3.highly_advanced.21.ai_label,digcomp.statement.1.3.highly_advanced.21.ai_label,AI-Implicit,
digcomp.statement.1.3.highly_advanced.22,digcomp.statement.1.3.highly_advanced.22,"Contribute to improvements in or new solutions for data management, processing or analysis in digital environments.",
digcomp.statement.1.3.highly_advanced.22.ai_label,digcomp.statement.1.3.highly_advanced.22.ai_label,AI-Implicit,
digcomp.statement.2.1.basic.01,digcomp.statement.2.1.basic.01,Identify and use basic features of digital communication tools to interact with individuals and groups.,
digcomp.statement.2.1.basic.01.ai_label,digcomp.statement.2.1.basic.01.ai_label,AI-Implicit,
digcomp.statement.2.1.basic.02,digcomp.statement.2.1.basic.02,Acknowledge the importance of taking others’ preferences into account in digital communication.,
digcomp.statement.2.1.basic.02.ai_label,digcomp.statement.2.1.basic.02.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.1.basic.03,digcomp.statement.2.1.basic.03,"Recognise differences between digital and non-digital interactions, and between physical and virtual realities.",
digcomp.statement.2.1.basic.03.ai_label,digcomp.statement.2.1.basic.03.ai_label,AI-Implicit,
digcomp.statement.2.1.basic.04,digcomp.statement.2.1.basic.04,Identify basic features of virtual assistants (chatbots) and recognise key differences between human-to-machine and human-to-human interactions.,
digcomp.statement.2.1.basic.04.ai_label,digcomp.statement.2.1.basic.04.ai_label,AI-Implicit,
digcomp.statement.2.1.basic.05,digcomp.statement.2.1.basic.05,"Recognise in general terms what a robot is, the non-human nature of robots, and that humans interact with robots to carry out tasks.",
digcomp.statement.2.1.basic.05.ai_label,digcomp.statement.2.1.basic.05.ai_label,AI-Implicit,
digcomp.statement.2.1.intermediate.06,digcomp.statement.2.1.intermediate.06,Acknowledge the importance of tailoring one's digital communication to specific contexts.,
digcomp.statement.2.1.intermediate.06.ai_label,digcomp.statement.2.1.intermediate.06.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.1.intermediate.07,digcomp.statement.2.1.intermediate.07,Recognise that there is a reality-virtuality continuum in digital environments.,
digcomp.statement.2.1.intermediate.07.ai_label,digcomp.statement.2.1.intermediate.07.ai_label,AI-Implicit,
digcomp.statement.2.1.intermediate.08,digcomp.statement.2.1.intermediate.08,Identify a suitable communication means for a given context or purpose.,
digcomp.statement.2.1.intermediate.08.ai_label,digcomp.statement.2.1.intermediate.08.ai_label,AI-Implicit,
digcomp.statement.2.1.intermediate.09,digcomp.statement.2.1.intermediate.09,"Use multiple features of a variety of digital communication tools to interact with and manage individuals, groups and channels.",
digcomp.statement.2.1.intermediate.09.ai_label,digcomp.statement.2.1.intermediate.09.ai_label,AI-Implicit,
digcomp.statement.2.1.intermediate.10,digcomp.statement.2.1.intermediate.10,"Develop and refine questions, commands or statements (prompts) for virtual assistants (chatbots) and AI systems to handle non-complex interactions.",
digcomp.statement.2.1.intermediate.10.ai_label,digcomp.statement.2.1.intermediate.10.ai_label,AI-Explicit,
digcomp.statement.2.1.intermediate.11,digcomp.statement.2.1.intermediate.11,"Define how humans can interact with robots, identifying their key features (such as sensors, software, motion controls and human interface), and recognising that they can operate with varying degrees of autonomy.",
digcomp.statement.2.1.intermediate.11.ai_label,digcomp.statement.2.1.intermediate.11.ai_label,AI-Implicit,
digcomp.statement.2.1.advanced.12,digcomp.statement.2.1.advanced.12,Continually adapt communication in digital environments in response to a variety of contexts.,
digcomp.statement.2.1.advanced.12.ai_label,digcomp.statement.2.1.advanced.12.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.1.advanced.13,digcomp.statement.2.1.advanced.13,Combine digital communication tools and methods for complex communication and interaction tasks.,
digcomp.statement.2.1.advanced.13.ai_label,digcomp.statement.2.1.advanced.13.ai_label,AI-Implicit,
digcomp.statement.2.1.advanced.14,digcomp.statement.2.1.advanced.14,"Systematically develop and progressively refine questions, commands or statements (prompts) for AI systems to handle complex interactions.",
digcomp.statement.2.1.advanced.14.ai_label,digcomp.statement.2.1.advanced.14.ai_label,AI-Explicit,
digcomp.statement.2.1.advanced.15,digcomp.statement.2.1.advanced.15,Assist others to assess and select suitable digital communication tools for a given purpose.,
digcomp.statement.2.1.advanced.15.ai_label,digcomp.statement.2.1.advanced.15.ai_label,AI-Implicit,
digcomp.statement.2.1.advanced.16,digcomp.statement.2.1.advanced.16,Organise and/or moderate complex digital events.,
digcomp.statement.2.1.advanced.16.ai_label,digcomp.statement.2.1.advanced.16.ai_label,AI-Implicit,
digcomp.statement.2.1.advanced.17,digcomp.statement.2.1.advanced.17,Assess benefits and disadvantages of robotic applications in a specific context.,
digcomp.statement.2.1.advanced.17.ai_label,digcomp.statement.2.1.advanced.17.ai_label,AI-Implicit,
digcomp.statement.2.1.highly_advanced.18,digcomp.statement.2.1.highly_advanced.18,Stay informed about developments in digital communication and interaction tools and methods.,
digcomp.statement.2.1.highly_advanced.18.ai_label,digcomp.statement.2.1.highly_advanced.18.ai_label,AI-Implicit,
digcomp.statement.2.1.highly_advanced.19,digcomp.statement.2.1.highly_advanced.19,Assess and combine digital communication and interaction tools for highly complex or novel tasks.,
digcomp.statement.2.1.highly_advanced.19.ai_label,digcomp.statement.2.1.highly_advanced.19.ai_label,AI-Implicit,
digcomp.statement.2.1.highly_advanced.20,digcomp.statement.2.1.highly_advanced.20,"Provide guidance, support or leadership in the advanced use of communication and interaction tools.",
digcomp.statement.2.1.highly_advanced.20.ai_label,digcomp.statement.2.1.highly_advanced.20.ai_label,AI-Implicit,
digcomp.statement.2.1.highly_advanced.21,digcomp.statement.2.1.highly_advanced.21,Lead or contribute to improvements in or new solutions for digital communication or human-machine interaction.,
digcomp.statement.2.1.highly_advanced.21.ai_label,digcomp.statement.2.1.highly_advanced.21.ai_label,AI-Implicit,
digcomp.statement.2.2.basic.01,digcomp.statement.2.2.basic.01,Acknowledge the importance of ethical and responsible sharing of information and content.,
digcomp.statement.2.2.basic.01.ai_label,digcomp.statement.2.2.basic.01.ai_label,AI-Implicit,
digcomp.statement.2.2.basic.02,digcomp.statement.2.2.basic.02,"Identify functions and uses of social media, and examples of common social media platforms.",
digcomp.statement.2.2.basic.02.ai_label,digcomp.statement.2.2.basic.02.ai_label,AI-Implicit,
digcomp.statement.2.2.basic.03,digcomp.statement.2.2.basic.03,"Recognise benefits and risks of sharing information and content in digital environments, and that individuals can choose how and what to share.",
digcomp.statement.2.2.basic.03.ai_label,digcomp.statement.2.2.basic.03.ai_label,AI-Implicit,
digcomp.statement.2.2.basic.04,digcomp.statement.2.2.basic.04,Recognise that content can be shared in a variety of ways by AI systems as well as humans.,
digcomp.statement.2.2.basic.04.ai_label,digcomp.statement.2.2.basic.04.ai_label,AI-Explicit,
digcomp.statement.2.2.basic.05,digcomp.statement.2.2.basic.05,Identify purpose and target audience of information and content to be shared in digital environments.,
digcomp.statement.2.2.basic.05.ai_label,digcomp.statement.2.2.basic.05.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.2.basic.06,digcomp.statement.2.2.basic.06,Use simple processes to share information and content in digital environments appropriately and in accordance with goals.,
digcomp.statement.2.2.basic.06.ai_label,digcomp.statement.2.2.basic.06.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.2.intermediate.07,digcomp.statement.2.2.intermediate.07,Acknowledge the importance of assessing the value and accuracy of information and content prior to sharing it in digital environments.,
digcomp.statement.2.2.intermediate.07.ai_label,digcomp.statement.2.2.intermediate.07.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.2.intermediate.08,digcomp.statement.2.2.intermediate.08,Define responsibilities associated with sharing information and content in digital environments.,
digcomp.statement.2.2.intermediate.08.ai_label,digcomp.statement.2.2.intermediate.08.ai_label,AI-Implicit,
digcomp.statement.2.2.intermediate.09,digcomp.statement.2.2.intermediate.09,Describe and implement effective and ethical ways to share information and content in a variety of digital environments.,
digcomp.statement.2.2.intermediate.09.ai_label,digcomp.statement.2.2.intermediate.09.ai_label,AI-Implicit,
digcomp.statement.2.2.intermediate.10,digcomp.statement.2.2.intermediate.10,Report or flag misinformation and disinformation that has been shared in digital environments.,
digcomp.statement.2.2.intermediate.10.ai_label,digcomp.statement.2.2.intermediate.10.ai_label,AI-Implicit,
digcomp.statement.2.2.advanced.11,digcomp.statement.2.2.advanced.11,Acknowledge the value of sharing information and content in digital environments to assist others.,
digcomp.statement.2.2.advanced.11.ai_label,digcomp.statement.2.2.advanced.11.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.2.advanced.12,digcomp.statement.2.2.advanced.12,"Share information and content in digital environments to support personal, learning or professional goals of oneself and others.",
digcomp.statement.2.2.advanced.12.ai_label,digcomp.statement.2.2.advanced.12.ai_label,AI-Implicit,
digcomp.statement.2.2.advanced.13,digcomp.statement.2.2.advanced.13,Advise others on effective and ethical ways to share information and content in digital environments.,
digcomp.statement.2.2.advanced.13.ai_label,digcomp.statement.2.2.advanced.13.ai_label,AI-Implicit,
digcomp.statement.2.2.highly_advanced.14,digcomp.statement.2.2.highly_advanced.14,"Facilitate complex sharing of information across a variety of digital technologies, exploring new and alternative means as needed.",
digcomp.statement.2.2.highly_advanced.14.ai_label,digcomp.statement.2.2.highly_advanced.14.ai_label,AI-Implicit,
digcomp.statement.2.2.highly_advanced.15,digcomp.statement.2.2.highly_advanced.15,Contribute to complex or specialised initiatives for sharing information and content in digital environments.,
digcomp.statement.2.2.highly_advanced.15.ai_label,digcomp.statement.2.2.highly_advanced.15.ai_label,AI-Implicit,
digcomp.statement.2.2.highly_advanced.16,digcomp.statement.2.2.highly_advanced.16,Lead or contribute to improvements in or new solutions for sharing information and content in digital environments.,
digcomp.statement.2.2.highly_advanced.16.ai_label,digcomp.statement.2.2.highly_advanced.16.ai_label,AI-Implicit,
digcomp.statement.2.3.basic.01,digcomp.statement.2.3.basic.01,"Identify main purposes and functions of digital platforms and services, using them with assistance as needed.",
digcomp.statement.2.3.basic.01.ai_label,digcomp.statement.2.3.basic.01.ai_label,AI-Implicit,
digcomp.statement.2.3.basic.02,digcomp.statement.2.3.basic.02,Recognise the potential of digital technologies for participation and empowerment – and exclusion – of oneself and specific groups and communities.,
digcomp.statement.2.3.basic.02.ai_label,digcomp.statement.2.3.basic.02.ai_label,AI-Implicit,
digcomp.statement.2.3.basic.03,digcomp.statement.2.3.basic.03,Recognise that there are laws and regulations to protect the rights of users of digital platforms and services.,
digcomp.statement.2.3.basic.03.ai_label,digcomp.statement.2.3.basic.03.ai_label,AI-Implicit,
digcomp.statement.2.3.basic.04,digcomp.statement.2.3.basic.04,Use digital tools to search for and find communities for civic participation on issues of interest.,
digcomp.statement.2.3.basic.04.ai_label,digcomp.statement.2.3.basic.04.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.05,digcomp.statement.2.3.intermediate.05,Participate in discussions on digital citizenship topics.,
digcomp.statement.2.3.intermediate.05.ai_label,digcomp.statement.2.3.intermediate.05.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.06,digcomp.statement.2.3.intermediate.06,Prioritise the exploration of ways that digital technologies can enhance one’s civic and societal participation.,
digcomp.statement.2.3.intermediate.06.ai_label,digcomp.statement.2.3.intermediate.06.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.07,digcomp.statement.2.3.intermediate.07,"Describe the potential benefits of common forms of digital participation, recognising that civic participation occurs along a continuum.",
digcomp.statement.2.3.intermediate.07.ai_label,digcomp.statement.2.3.intermediate.07.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.3.intermediate.08,digcomp.statement.2.3.intermediate.08,"Recognise key rights under relevant digital laws and regulations, and define how to exercise them.",
digcomp.statement.2.3.intermediate.08.ai_label,digcomp.statement.2.3.intermediate.08.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.09,digcomp.statement.2.3.intermediate.09,"Describe how digital technologies such as social media platforms can influence some aspects of basic democracy (for example, distortion of the electoral process).",
digcomp.statement.2.3.intermediate.09.ai_label,digcomp.statement.2.3.intermediate.09.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.10,digcomp.statement.2.3.intermediate.10,"Describe the concept of the platform economy, including opportunities, risks, social and ethical implications.",
digcomp.statement.2.3.intermediate.10.ai_label,digcomp.statement.2.3.intermediate.10.ai_label,AI-Implicit,
digcomp.statement.2.3.intermediate.11,digcomp.statement.2.3.intermediate.11,Describe the concepts and functions of civic monitoring and e-Government.,
digcomp.statement.2.3.intermediate.11.ai_label,digcomp.statement.2.3.intermediate.11.ai_label,AI not Implicit or Explicit,
digcomp.statement.2.3.intermediate.12,digcomp.statement.2.3.intermediate.12,Interact autonomously and effectively with digital platforms and services.,
digcomp.statement.2.3.intermediate.12.ai_label,digcomp.statement.2.3.intermediate.12.ai_label,AI-Implicit,
digcomp.statement.2.3.advanced.13,digcomp.statement.2.3.advanced.13,"Participate in discussions on digital technologies' ethical, political and social implications, prioritising the continual exploration of ways in which digital technologies can support empowerment and civic participation.",
digcomp.statement.2.3.advanced.13.ai_label,digcomp.statement.2.3.advanced.13.ai_label,AI-Implicit,
digcomp.statement.2.3.advanced.14,digcomp.statement.2.3.advanced.14,"Assess the potential of digital technologies for inclusion, exclusion, and civic intervention.",
digcomp.statement.2.3.advanced.14.ai_label,digcomp.statement.2.3.advanced.14.ai_label,AI-Implicit,
digcomp.statement.2.3.advanced.15,digcomp.statement.2.3.advanced.15,Assess several implications of digital technologies such as social media platforms in democratic processes.,
digcomp.statement.2.3.advanced.15.ai_label,digcomp.statement.2.3.advanced.15.ai_label,AI-Implicit,
digcomp.statement.2.3.advanced.16,digcomp.statement.2.3.advanced.16,"Distinguish between high-risk and prohibited AI systems (according to legislation) and their potential societal, political or economic impacts.",
