location,context,source,target
digcomp.outcome.1.1.highly_advanced.s.20,digcomp.outcome.1.1.highly_advanced.s.20,Assist others to implement and refine complex or specialised searches in digital environments.,
digcomp.outcome.1.1.highly_advanced.s.20.ai_label,digcomp.outcome.1.1.highly_advanced.s.20.ai_label,AI-Implicit,
digcomp.outcome.1.1.highly_advanced.s.21,digcomp.outcome.1.1.highly_advanced.s.21,Contribute to improvements in or new solutions for complex or specialised searches in digital environments.,
digcomp.outcome.1.1.highly_advanced.s.21.ai_label,digcomp.outcome.1.1.highly_advanced.s.21.ai_label,AI-Implicit,
digcomp.outcome.1.2.basic.a.01,digcomp.outcome.1.2.basic.a.01,Acknowledge the benefits of a cautious approach in interpreting information and content in digital environments.,
digcomp.outcome.1.2.basic.a.01.ai_label,digcomp.outcome.1.2.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.2.basic.k.02,digcomp.outcome.1.2.basic.k.02,"Distinguish between the source of digital content, and digital content itself.",
digcomp.outcome.1.2.basic.k.02.ai_label,digcomp.outcome.1.2.basic.k.02.ai_label,AI-Implicit,
digcomp.outcome.1.2.basic.k.03,digcomp.outcome.1.2.basic.k.03,Recognise that some digital information sources and systems may not be trustworthy.,
digcomp.outcome.1.2.basic.k.03.ai_label,digcomp.outcome.1.2.basic.k.03.ai_label,AI-Implicit,
digcomp.outcome.1.2.basic.k.04,digcomp.outcome.1.2.basic.k.04,Recognise that it can be difficult to distinguish between information and content generated by humans and AI systems.,
digcomp.outcome.1.2.basic.k.04.ai_label,digcomp.outcome.1.2.basic.k.04.ai_label,AI-Explicit,
digcomp.outcome.1.2.basic.k.05,digcomp.outcome.1.2.basic.k.05,"Recognise examples of misinformation, disinformation, and sources of bias.",
digcomp.outcome.1.2.basic.k.05.ai_label,digcomp.outcome.1.2.basic.k.05.ai_label,AI-Implicit,
digcomp.outcome.1.2.basic.k.06,digcomp.outcome.1.2.basic.k.06,Recognise examples of social media influencing and filter bubbles.,
digcomp.outcome.1.2.basic.k.06.ai_label,digcomp.outcome.1.2.basic.k.06.ai_label,AI-Implicit,
digcomp.outcome.1.2.basic.s.07,digcomp.outcome.1.2.basic.s.07,Make a basic assessment of the reliability and credibility of digital information sources and content.,
digcomp.outcome.1.2.basic.s.07.ai_label,digcomp.outcome.1.2.basic.s.07.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.a.08,digcomp.outcome.1.2.intermediate.a.08,Acknowledge the benefits of questioning the credibility and reliability of information and content and their sources in digital environments.,
digcomp.outcome.1.2.intermediate.a.08.ai_label,digcomp.outcome.1.2.intermediate.a.08.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.k.09,digcomp.outcome.1.2.intermediate.k.09,Recognise potential consequences of misinformation and disinformation in digital environments for oneself and others.,
digcomp.outcome.1.2.intermediate.k.09.ai_label,digcomp.outcome.1.2.intermediate.k.09.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.k.10,digcomp.outcome.1.2.intermediate.k.10,Describe methods to identify the source of information found online.,
digcomp.outcome.1.2.intermediate.k.10.ai_label,digcomp.outcome.1.2.intermediate.k.10.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.k.11,digcomp.outcome.1.2.intermediate.k.11,Define the purposes of fact-checking services.,
digcomp.outcome.1.2.intermediate.k.11.ai_label,digcomp.outcome.1.2.intermediate.k.11.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.k.12,digcomp.outcome.1.2.intermediate.k.12,Recognise the concepts and purposes of pre-bunking and de-bunking in digital contexts.,
digcomp.outcome.1.2.intermediate.k.12.ai_label,digcomp.outcome.1.2.intermediate.k.12.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.k.13,digcomp.outcome.1.2.intermediate.k.13,Recognise that the data used to train AI systems and how they are trained affects the reliability of the information they provide.,
digcomp.outcome.1.2.intermediate.k.13.ai_label,digcomp.outcome.1.2.intermediate.k.13.ai_label,AI-Explicit,
digcomp.outcome.1.2.intermediate.k.14,digcomp.outcome.1.2.intermediate.k.14,"Recognise that some digital technologies, such as AI systems, may function like a 'black box', making it difficult to explain why or how an output has been produced.",
digcomp.outcome.1.2.intermediate.k.14.ai_label,digcomp.outcome.1.2.intermediate.k.14.ai_label,AI-Explicit,
digcomp.outcome.1.2.intermediate.k.15,digcomp.outcome.1.2.intermediate.k.15,"Identify examples of human (cognitive, affective) bias and AI system (data, training) bias in relation to the generation and interpretation of information.",
digcomp.outcome.1.2.intermediate.k.15.ai_label,digcomp.outcome.1.2.intermediate.k.15.ai_label,AI-Explicit,
digcomp.outcome.1.2.intermediate.k.16,digcomp.outcome.1.2.intermediate.k.16,"Recognise that AI systems may produce output which is inaccurate, even if it may seem plausible.",
digcomp.outcome.1.2.intermediate.k.16.ai_label,digcomp.outcome.1.2.intermediate.k.16.ai_label,AI-Explicit,
digcomp.outcome.1.2.intermediate.k.17,digcomp.outcome.1.2.intermediate.k.17,Recognise that the humans using an AI system are responsible for checking the quality and validity of information and content generated.,
digcomp.outcome.1.2.intermediate.k.17.ai_label,digcomp.outcome.1.2.intermediate.k.17.ai_label,AI-Explicit,
digcomp.outcome.1.2.intermediate.k.18,digcomp.outcome.1.2.intermediate.k.18,"Recognise the presence of user-directing strategies in digital environments such as clickbait, nudging and gamification.",
digcomp.outcome.1.2.intermediate.k.18.ai_label,digcomp.outcome.1.2.intermediate.k.18.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.s.19,digcomp.outcome.1.2.intermediate.s.19,Apply pre-bunking and de-bunking strategies to discard or discredit unreliable sources and content in digital environments.,
digcomp.outcome.1.2.intermediate.s.19.ai_label,digcomp.outcome.1.2.intermediate.s.19.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.s.20,digcomp.outcome.1.2.intermediate.s.20,"Respond effectively to user-directing strategies in digital environments such as clickbait, nudging and gamification.",
digcomp.outcome.1.2.intermediate.s.20.ai_label,digcomp.outcome.1.2.intermediate.s.20.ai_label,AI-Implicit,
digcomp.outcome.1.2.intermediate.s.21,digcomp.outcome.1.2.intermediate.s.21,"Critically assess the reliability of sources, information and content in digital environments, considering the role of AI systems, personalisation effects, and commercial or other interests.",
digcomp.outcome.1.2.intermediate.s.21.ai_label,digcomp.outcome.1.2.intermediate.s.21.ai_label,AI-Explicit,
digcomp.outcome.1.2.advanced.a.22,digcomp.outcome.1.2.advanced.a.22,"Continually scrutinise how AI systems, biases, and various interests shape generation, presentation and interpretation of information and content in digital environments.",
digcomp.outcome.1.2.advanced.a.22.ai_label,digcomp.outcome.1.2.advanced.a.22.ai_label,AI-Explicit,
digcomp.outcome.1.2.advanced.k.23,digcomp.outcome.1.2.advanced.k.23,"Describe personal, social and political consequences of misinformation, disinformation, sources of bias, social media influencing and filter bubbles.",
digcomp.outcome.1.2.advanced.k.23.ai_label,digcomp.outcome.1.2.advanced.k.23.ai_label,AI-Implicit,
digcomp.outcome.1.2.advanced.k.24,digcomp.outcome.1.2.advanced.k.24,"Describe features of trustworthy digital technologies, such as AI systems.",
digcomp.outcome.1.2.advanced.k.24.ai_label,digcomp.outcome.1.2.advanced.k.24.ai_label,AI-Explicit,
digcomp.outcome.1.2.advanced.k.25,digcomp.outcome.1.2.advanced.k.25,Describe methods that can be used to identify deep-fakes.,
digcomp.outcome.1.2.advanced.k.25.ai_label,digcomp.outcome.1.2.advanced.k.25.ai_label,AI-Explicit,
digcomp.outcome.1.2.advanced.s.26,digcomp.outcome.1.2.advanced.s.26,"Thoroughly assess the reliability and accuracy of a diversity of sources, information and content in digital environments, considering a range of potential influencing factors.",
digcomp.outcome.1.2.advanced.s.26.ai_label,digcomp.outcome.1.2.advanced.s.26.ai_label,AI-Implicit,
digcomp.outcome.1.2.advanced.s.27,digcomp.outcome.1.2.advanced.s.27,"Support others to develop their capabilities to assess the reliability of sources, information and content in digital environments.",
digcomp.outcome.1.2.advanced.s.27.ai_label,digcomp.outcome.1.2.advanced.s.27.ai_label,AI-Implicit,
digcomp.outcome.1.2.highly_advanced.a.28,digcomp.outcome.1.2.highly_advanced.a.28,Promote and support the development of resilience to misinformation and disinformation in digital environments among individuals and/or groups.,
digcomp.outcome.1.2.highly_advanced.a.28.ai_label,digcomp.outcome.1.2.highly_advanced.a.28.ai_label,AI-Implicit,
digcomp.outcome.1.2.highly_advanced.s.29,digcomp.outcome.1.2.highly_advanced.s.29,"Systematically assess and evaluate sources, information and content in digital environments to support complex decision-making.",
digcomp.outcome.1.2.highly_advanced.s.29.ai_label,digcomp.outcome.1.2.highly_advanced.s.29.ai_label,AI-Implicit,
digcomp.outcome.1.2.highly_advanced.s.30,digcomp.outcome.1.2.highly_advanced.s.30,Help others to develop capabilities to critically evaluate information and content in digital environments.,
digcomp.outcome.1.2.highly_advanced.s.30.ai_label,digcomp.outcome.1.2.highly_advanced.s.30.ai_label,AI-Implicit,
digcomp.outcome.1.2.highly_advanced.s.31,digcomp.outcome.1.2.highly_advanced.s.31,"Lead or contribute to initiatives that support accurate interpretation of data, information, and content in digital environments.",
digcomp.outcome.1.2.highly_advanced.s.31.ai_label,digcomp.outcome.1.2.highly_advanced.s.31.ai_label,AI-Implicit,
digcomp.outcome.1.3.basic.a.01,digcomp.outcome.1.3.basic.a.01,Acknowledge the benefits of managing and organising information in digital environments.,
digcomp.outcome.1.3.basic.a.01.ai_label,digcomp.outcome.1.3.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.k.02,digcomp.outcome.1.3.basic.k.02,"Recognise functions of data removal, restoration and backup.",
digcomp.outcome.1.3.basic.k.02.ai_label,digcomp.outcome.1.3.basic.k.02.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.k.03,digcomp.outcome.1.3.basic.k.03,Identify main properties of digital files and folders.,
digcomp.outcome.1.3.basic.k.03.ai_label,digcomp.outcome.1.3.basic.k.03.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.k.04,digcomp.outcome.1.3.basic.k.04,"Recognise, in general terms, the concept of data.",
digcomp.outcome.1.3.basic.k.04.ai_label,digcomp.outcome.1.3.basic.k.04.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.s.05,digcomp.outcome.1.3.basic.s.05,"Download, save, retrieve, move and delete digital files.",
digcomp.outcome.1.3.basic.s.05.ai_label,digcomp.outcome.1.3.basic.s.05.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.s.06,digcomp.outcome.1.3.basic.s.06,"Organise and format simple data in a structured digital environment, such as in spreadsheets.",
digcomp.outcome.1.3.basic.s.06.ai_label,digcomp.outcome.1.3.basic.s.06.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.basic.s.07,digcomp.outcome.1.3.basic.s.07,"Update one's contacts, such as on phone, email or social media.",
digcomp.outcome.1.3.basic.s.07.ai_label,digcomp.outcome.1.3.basic.s.07.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.a.08,digcomp.outcome.1.3.intermediate.a.08,Acknowledge the importance of careful and ethical management of data and information in digital environments.,
digcomp.outcome.1.3.intermediate.a.08.ai_label,digcomp.outcome.1.3.intermediate.a.08.ai_label,AI-Implicit,
digcomp.outcome.1.3.intermediate.k.09,digcomp.outcome.1.3.intermediate.k.09,Recognise that digital files and folders can be (re-)named and organised in a manner desired by the user.,
digcomp.outcome.1.3.intermediate.k.09.ai_label,digcomp.outcome.1.3.intermediate.k.09.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.k.10,digcomp.outcome.1.3.intermediate.k.10,"Recognise that digital files can be saved to different locations (devices, external storage and cloud services) and transferred from one location to another.",
digcomp.outcome.1.3.intermediate.k.10.ai_label,digcomp.outcome.1.3.intermediate.k.10.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.k.11,digcomp.outcome.1.3.intermediate.k.11,Identify common data collection tools and their main functions.,
digcomp.outcome.1.3.intermediate.k.11.ai_label,digcomp.outcome.1.3.intermediate.k.11.ai_label,AI-Implicit,
digcomp.outcome.1.3.intermediate.k.12,digcomp.outcome.1.3.intermediate.k.12,Define responsibilities associated with using data collection tools.,
digcomp.outcome.1.3.intermediate.k.12.ai_label,digcomp.outcome.1.3.intermediate.k.12.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.k.13,digcomp.outcome.1.3.intermediate.k.13,Identify common types of data and their formats.,
digcomp.outcome.1.3.intermediate.k.13.ai_label,digcomp.outcome.1.3.intermediate.k.13.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.s.14,digcomp.outcome.1.3.intermediate.s.14,Apply naming conventions to digital files and hierarchies to digital folders.,
digcomp.outcome.1.3.intermediate.s.14.ai_label,digcomp.outcome.1.3.intermediate.s.14.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.s.15,digcomp.outcome.1.3.intermediate.s.15,"Manage, save and delete files on digital devices, external storage, and cloud services.",
digcomp.outcome.1.3.intermediate.s.15.ai_label,digcomp.outcome.1.3.intermediate.s.15.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.s.16,digcomp.outcome.1.3.intermediate.s.16,"Manage information in one's digital accounts, such as email.",
digcomp.outcome.1.3.intermediate.s.16.ai_label,digcomp.outcome.1.3.intermediate.s.16.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.s.17,digcomp.outcome.1.3.intermediate.s.17,"Use data collection tools for simple processing of data and information such as quizzes, polls or surveys.",
digcomp.outcome.1.3.intermediate.s.17.ai_label,digcomp.outcome.1.3.intermediate.s.17.ai_label,AI-Implicit,
digcomp.outcome.1.3.intermediate.s.18,digcomp.outcome.1.3.intermediate.s.18,"Organise and format data in a structured digital environment, such as in spreadsheets.",
digcomp.outcome.1.3.intermediate.s.18.ai_label,digcomp.outcome.1.3.intermediate.s.18.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.intermediate.s.19,digcomp.outcome.1.3.intermediate.s.19,"Apply basic formulas to data in a structured digital environment, such as in spreadsheets.",
digcomp.outcome.1.3.intermediate.s.19.ai_label,digcomp.outcome.1.3.intermediate.s.19.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.advanced.a.20,digcomp.outcome.1.3.advanced.a.20,Prioritise ethical and transparent management and processing of data and information in digital environments.,
digcomp.outcome.1.3.advanced.a.20.ai_label,digcomp.outcome.1.3.advanced.a.20.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.a.21,digcomp.outcome.1.3.advanced.a.21,Take account of potential sources of error or inaccuracy in management and processing of data and information in digital environments.,
digcomp.outcome.1.3.advanced.a.21.ai_label,digcomp.outcome.1.3.advanced.a.21.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.k.22,digcomp.outcome.1.3.advanced.k.22,Identify possible sources of error or inaccuracy in information or data in digital environments.,
digcomp.outcome.1.3.advanced.k.22.ai_label,digcomp.outcome.1.3.advanced.k.22.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.k.23,digcomp.outcome.1.3.advanced.k.23,"Describe the main steps in managing, processing and analysing information and data in digital environments.",
digcomp.outcome.1.3.advanced.k.23.ai_label,digcomp.outcome.1.3.advanced.k.23.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.k.24,digcomp.outcome.1.3.advanced.k.24,"Describe features of open data (examples, applications, benefits and limitations).",
digcomp.outcome.1.3.advanced.k.24.ai_label,digcomp.outcome.1.3.advanced.k.24.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.k.25,digcomp.outcome.1.3.advanced.k.25,"Describe features of big data (examples, applications, benefits and limitations).",
digcomp.outcome.1.3.advanced.k.25.ai_label,digcomp.outcome.1.3.advanced.k.25.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.s.26,digcomp.outcome.1.3.advanced.s.26,Apply a variety of functions to transfer and manage data and information in digital environments.,
digcomp.outcome.1.3.advanced.s.26.ai_label,digcomp.outcome.1.3.advanced.s.26.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.s.27,digcomp.outcome.1.3.advanced.s.27,Use a range of digital tools and methods to collect and process a variety of data and information.,
digcomp.outcome.1.3.advanced.s.27.ai_label,digcomp.outcome.1.3.advanced.s.27.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.s.28,digcomp.outcome.1.3.advanced.s.28,Apply appropriate analysis of information and data in digital environments to contribute to complex decision-making.,
digcomp.outcome.1.3.advanced.s.28.ai_label,digcomp.outcome.1.3.advanced.s.28.ai_label,AI-Implicit,
digcomp.outcome.1.3.advanced.s.29,digcomp.outcome.1.3.advanced.s.29,"Assist others with data and information management, processing and analysis in digital environments.",
digcomp.outcome.1.3.advanced.s.29.ai_label,digcomp.outcome.1.3.advanced.s.29.ai_label,AI-Implicit,
digcomp.outcome.1.3.highly_advanced.a.30,digcomp.outcome.1.3.highly_advanced.a.30,Acknowledge the importance of structuring and documenting data and information in digital environments for the benefit of others.,
digcomp.outcome.1.3.highly_advanced.a.30.ai_label,digcomp.outcome.1.3.highly_advanced.a.30.ai_label,AI not Implicit or Explicit,
digcomp.outcome.1.3.highly_advanced.a.31,digcomp.outcome.1.3.highly_advanced.a.31,Stay informed about digital technological developments in data and information management and analysis.,
digcomp.outcome.1.3.highly_advanced.a.31.ai_label,digcomp.outcome.1.3.highly_advanced.a.31.ai_label,AI-Implicit,
digcomp.outcome.1.3.highly_advanced.s.32,digcomp.outcome.1.3.highly_advanced.s.32,"Develop and implement strategies for complex or specialised data and information management, processing and analysis in digital environments.",
digcomp.outcome.1.3.highly_advanced.s.32.ai_label,digcomp.outcome.1.3.highly_advanced.s.32.ai_label,AI-Implicit,
digcomp.outcome.1.3.highly_advanced.s.33,digcomp.outcome.1.3.highly_advanced.s.33,"Use a variety of tools and methods such as big data techniques or simulations to process, manage or analyse complex data or large volumes of information.",
digcomp.outcome.1.3.highly_advanced.s.33.ai_label,digcomp.outcome.1.3.highly_advanced.s.33.ai_label,AI-Implicit,
digcomp.outcome.1.3.highly_advanced.s.34,digcomp.outcome.1.3.highly_advanced.s.34,"Lead or contribute to initiatives that support others in advanced information and data management, processing and analysis in digital environments.",
digcomp.outcome.1.3.highly_advanced.s.34.ai_label,digcomp.outcome.1.3.highly_advanced.s.34.ai_label,AI-Implicit,
digcomp.outcome.1.3.highly_advanced.s.35,digcomp.outcome.1.3.highly_advanced.s.35,"Contribute to improvements in or new solutions for complex data management, processing or analysis in digital environments.",
digcomp.outcome.1.3.highly_advanced.s.35.ai_label,digcomp.outcome.1.3.highly_advanced.s.35.ai_label,AI-Implicit,
digcomp.outcome.2.1.basic.a.01,digcomp.outcome.2.1.basic.a.01,Acknowledge the importance of taking others' preferences into account in digital communication.,
digcomp.outcome.2.1.basic.a.01.ai_label,digcomp.outcome.2.1.basic.a.01.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.basic.k.02,digcomp.outcome.2.1.basic.k.02,Distinguish between synchronous and asynchronous forms of digital communication.,
digcomp.outcome.2.1.basic.k.02.ai_label,digcomp.outcome.2.1.basic.k.02.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.basic.k.03,digcomp.outcome.2.1.basic.k.03,Identify differences between digital and non-digital interactions.,
digcomp.outcome.2.1.basic.k.03.ai_label,digcomp.outcome.2.1.basic.k.03.ai_label,AI-Implicit,
digcomp.outcome.2.1.basic.k.04,digcomp.outcome.2.1.basic.k.04,Distinguish between physical and virtual realities.,
digcomp.outcome.2.1.basic.k.04.ai_label,digcomp.outcome.2.1.basic.k.04.ai_label,AI-Implicit,
digcomp.outcome.2.1.basic.k.05,digcomp.outcome.2.1.basic.k.05,Identify basic features and functions of digital communication tools.,
digcomp.outcome.2.1.basic.k.05.ai_label,digcomp.outcome.2.1.basic.k.05.ai_label,AI-Implicit,
digcomp.outcome.2.1.basic.k.06,digcomp.outcome.2.1.basic.k.06,Identify basic features of virtual assistants (chatbots) and AI systems used in communication contexts.,
digcomp.outcome.2.1.basic.k.06.ai_label,digcomp.outcome.2.1.basic.k.06.ai_label,AI-Explicit,
digcomp.outcome.2.1.basic.k.07,digcomp.outcome.2.1.basic.k.07,Recognise key differences between human-to-machine and human-to-human interactions.,
digcomp.outcome.2.1.basic.k.07.ai_label,digcomp.outcome.2.1.basic.k.07.ai_label,AI-Implicit,
digcomp.outcome.2.1.basic.k.08,digcomp.outcome.2.1.basic.k.08,"Recognise in general terms what a robot is, including their non-human nature.",
digcomp.outcome.2.1.basic.k.08.ai_label,digcomp.outcome.2.1.basic.k.08.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.basic.k.09,digcomp.outcome.2.1.basic.k.09,Recognise that humans interact with robots in order to carry out tasks.,
digcomp.outcome.2.1.basic.k.09.ai_label,digcomp.outcome.2.1.basic.k.09.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.basic.s.10,digcomp.outcome.2.1.basic.s.10,Use basic features of digital communication tools to interact with individuals and groups.,
digcomp.outcome.2.1.basic.s.10.ai_label,digcomp.outcome.2.1.basic.s.10.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.a.11,digcomp.outcome.2.1.intermediate.a.11,Acknowledge the importance of tailoring one's digital communication to specific contexts.,
digcomp.outcome.2.1.intermediate.a.11.ai_label,digcomp.outcome.2.1.intermediate.a.11.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.intermediate.k.12,digcomp.outcome.2.1.intermediate.k.12,Recognise that there is a reality-virtuality continuum in digital environments.,
digcomp.outcome.2.1.intermediate.k.12.ai_label,digcomp.outcome.2.1.intermediate.k.12.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.k.13,digcomp.outcome.2.1.intermediate.k.13,Describe main features and functions of a range of digital communication tools.,
digcomp.outcome.2.1.intermediate.k.13.ai_label,digcomp.outcome.2.1.intermediate.k.13.ai_label,AI-Implicit,
digcomp.outcome.2.1.intermediate.k.14,digcomp.outcome.2.1.intermediate.k.14,Describe benefits and limitations of virtual assistants (chatbots) and AI systems in digital communication contexts.,
digcomp.outcome.2.1.intermediate.k.14.ai_label,digcomp.outcome.2.1.intermediate.k.14.ai_label,AI-Explicit,
digcomp.outcome.2.1.intermediate.k.15,digcomp.outcome.2.1.intermediate.k.15,"Identify contexts in which asynchronous or synchronous digital communication, or non-digital communication, may work best.",
digcomp.outcome.2.1.intermediate.k.15.ai_label,digcomp.outcome.2.1.intermediate.k.15.ai_label,AI not Implicit or Explicit,
digcomp.outcome.2.1.intermediate.k.16,digcomp.outcome.2.1.intermediate.k.16,"Identify key features of robots (such as sensors, software, motion controls and human interface).",
digcomp.outcome.2.1.intermediate.k.16.ai_label,digcomp.outcome.2.1.intermediate.k.16.ai_label,AI-Implicit,
